Key,English(en),Russian(ru),German(de),Spanish(es),Portuguese(pt),French(fr)
heavy_damage.desc,<color=#ADACAC>Heavy damage:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Cost: {2}</color>,<color=#ADACAC>Тяжёлый урон:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Стоимость: {2}</color>,<color=#ADACAC>Schwerer Schaden:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Kosten: {2}</color>,<color=#ADACAC>Daño pesado:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coste: {2}</color>,<color=#ADACAC>Dano pesado:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Custo: {2}</color>,<color=#ADACAC>Dégâts lourds:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coût: {2}</color>
magic_damage.name,<color=#ffd700>Magic Damage</color>,<color=#ffd700>Магический урон</color>,<color=#ffd700>Magischer Schaden</color>,<color=#ffd700>Daño mágico</color>,<color=#ffd700>Dano mágico</color>,<color=#ffd700>Dégâts magiques</color>
magic_damage.desc,<color=#58CBF8>Magic damage:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Cost: {2}</color>,<color=#58CBF8>Магический урон:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Стоимость: {2}</color>,<color=#58CBF8>Magischer Schaden:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Kosten: {2}</color>,<color=#58CBF8>Daño mágico:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coste: {2}</color>,<color=#58CBF8>Dano mágico:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Custo: {2}</color>,<color=#58CBF8>Dégâts magiques:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coût: {2}</color>
normal_damage.name,<color=#ffd700>Normal Damage</color>,<color=#ffd700>Обычный урон</color>,<color=#ffd700>Normaler Schaden</color>,<color=#ffd700>Daño normal</color>,<color=#ffd700>Dano normal</color>,<color=#ffd700>Dégâts normaux</color>
normal_damage.desc,<color=#EED976>Normal damage:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Cost: {2}</color>,<color=#EED976>Обычный урон:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Стоимость: {2}</color>,<color=#EED976>Normaler Schaden:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Kosten: {2}</color>,<color=#EED976>Daño normal:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coste: {2}</color>,<color=#EED976>Dano normal:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Custo: {2}</color>,<color=#EED976>Dégâts normaux:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coût: {2}</color>
passive_gold.name,<color=#ffd700>Golden Coin</color>,<color=#ffd700>Золотая монетка</color>,<color=#ffd700>Goldmünze</color>,<color=#ffd700>Moneda de oro</color>,<color=#ffd700>Moeda de ouro</color>,<color=#ffd700>Pièce d'or</color>
passive_gold.desc,Gold Gain: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Cost: {1}</color>,Прирост золота: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Goldgewinn: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Kosten: {1}</color>,Ganancia de oro: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coste: {1}</color>,Ganho de ouro: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Custo: {1}</color>,Gain d'or: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coût: {1}</color>
piercing_damage.name,<color=#ffd700>Piercing Damage</color>,<color=#ffd700>Колющий урон</color>,<color=#ffd700>Durchdringender Schaden</color>,<color=#ffd700>Daño perforante</color>,<color=#ffd700>Dano perfurante</color>,<color=#ffd700>Dégâts perforants</color>
piercing_damage.desc,<color=#70D160>Piercing damage:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Cost: {2}</color>,<color=#70D160>Колющий урон:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Стоимость: {2}</color>,<color=#70D160>Durchdringender Schaden:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Kosten: {2}</color>,<color=#70D160>Daño perforante:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coste: {2}</color>,<color=#70D160>Dano perfurante:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Custo: {2}</color>,<color=#70D160>Dégâts perforants:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coût: {2}</color>
projectile_damage.name,<color=#ffd700>Projectile Damage</color>,<color=#ffd700>Урон от снарядов</color>,<color=#ffd700>Projektilschaden</color>,<color=#ffd700>Daño de proyectil</color>,<color=#ffd700>Dano de projétil</color>,<color=#ffd700>Dégâts de projectile</color>
projectile_damage.desc,<color=#FF949A>Projectile damage:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Cost: {2}</color>,<color=#FF949A>Снарядный урон:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Стоимость: {2}</color>,<color=#FF949A>Projektilschaden:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Kosten: {2}</color>,<color=#FF949A>Daño de proyectil:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coste: {2}</color>,<color=#FF949A>Dano de projétil:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Custo: {2}</color>,<color=#FF949A>Dégâts de projectile:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coût: {2}</color>
sacrifice.name,<color=#ffd700>Greed</color>,<color=#ffd700>Жадность</color>,<color=#ffd700>Gier</color>,<color=#ffd700>Codicia</color>,<color=#ffd700>Ganância</color>,<color=#ffd700>Cupidité</color>
sacrifice.desc,Gold: <color=#ffd700>+200</color>\nMax Health: <color=#ffd700>-{0}</color>,Золото: <color=#ffd700>+200</color>\nМаксимальное здоровье: <color=#ffd700>-{0}</color>,Gold: <color=#ffd700>+200</color>\nMax. Leben: <color=#ffd700>-{0}</color>,Oro: <color=#ffd700>+200</color>\nSalud máxima: <color=#ffd700>-{0}</color>,Ouro: <color=#ffd700>+200</color>\nVida máxima: <color=#ffd700>-{0}</color>,Or: <color=#ffd700>+200</color>\nVie maximale: <color=#ffd700>-{0}</color>
basic_damage_reduction.name,<color=#ffd700>Base Defense</color>,<color=#ffd700>Базовая защита</color>,<color=#ffd700>Grundverteidigung</color>,<color=#ffd700>Defensa base</color>,<color=#ffd700>Defesa base</color>,<color=#ffd700>Défense de base</color>
basic_damage_reduction.desc,Incoming Damage: <color=#ffd700>-{0}%</color>\n\n<color=#ffd700>Cost: {1}</color>,Входящий урон: <color=#ffd700>-{0}%</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Erlittener Schaden: <color=#ffd700>-{0}%</color>\n\n<color=#ffd700>Kosten: {1}</color>,Daño recibido: <color=#ffd700>-{0}%</color>\n\n<color=#ffd700>Coste: {1}</color>,Dano recebido: <color=#ffd700>-{0}%</color>\n\n<color=#ffd700>Custo: {1}</color>,Dégâts subis: <color=#ffd700>-{0}%</color>\n\n<color=#ffd700>Coût: {1}</color>
death_mask.name,<color=#ffd700>Death Mask</color>,<color=#ffd700>Маска смерти</color>,<color=#ffd700>Todesmaske</color>,<color=#ffd700>Máscara de la muerte</color>,<color=#ffd700>Máscara da morte</color>,<color=#ffd700>Masque de mort</color>
death_mask.desc,Thorns <color=#ffd700>+5</color>\nHeal <color=#ffd700>3</color> when taking damage\n\n<color=#ffd700>Cost: {0}</color>,Шипы <color=#ffd700>+5</color>\nИсцеление на <color=#ffd700>3</color> при получении урона\n\n<color=#ffd700>Стоимость: {0}</color>,Dornen <color=#ffd700>+5</color>\nHeilt <color=#ffd700>3</color> bei Schadenserhalt\n\n<color=#ffd700>Kosten: {0}</color>,Espinas <color=#ffd700>+5</color>\nCura <color=#ffd700>3</color> al recibir daño\n\n<color=#ffd700>Coste: {0}</color>,Espinhos <color=#ffd700>+5</color>\nCura <color=#ffd700>3</color> ao receber dano\n\n<color=#ffd700>Custo: {0}</color>,Épines <color=#ffd700>+5</color>\nSoigne <color=#ffd700>3</color> en subissant des dégâts\n\n<color=#ffd700>Coût: {0}</color>
generator.name,<color=#ffd700>Generator</color>,<color=#ffd700>Генератор</color>,<color=#ffd700>Generator</color>,<color=#ffd700>Generador</color>,<color=#ffd700>Gerador</color>,<color=#ffd700>Générateur</color>
generator.desc,Total Damage: <color=#ffd700>+4%</color> every <color=#ffd700>{0}</color> seconds\n\n<color=#ffd700>Cost: {2}</color>,Общий урон: <color=#ffd700>+4%</color> каждые <color=#ffd700>{0}</color> секунд\n\n<color=#ffd700>Стоимость: {2}</color>,Gesamtschaden: <color=#ffd700>+4%</color> alle <color=#ffd700>{0}</color> Sekunden\n\n<color=#ffd700>Kosten: {2}</color>,Daño total: <color=#ffd700>+4%</color> cada <color=#ffd700>{0}</color> segundos\n\n<color=#ffd700>Coste: {2}</color>,Dano total: <color=#ffd700>+4%</color> a cada <color=#ffd700>{0}</color> segundos\n\n<color=#ffd700>Custo: {2}</color>,Dégâts totaux: <color=#ffd700>+4%</color> toutes les <color=#ffd700>{0}</color> secondes\n\n<color=#ffd700>Coût: {2}</color>
gold_mine.name,<color=#ffd700>Gold Mine</color>,<color=#ffd700>Золотая шахта</color>,<color=#ffd700>Goldmine</color>,<color=#ffd700>Mina de oro</color>,<color=#ffd700>Mina de ouro</color>,<color=#ffd700>Mine d'or</color>
gold_mine.desc,Gold Received: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Cost: {1}</color>,Получаемое золото: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Erhaltenes Gold: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Kosten: {1}</color>,Oro recibido: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Coste: {1}</color>,Ouro recebido: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Custo: {1}</color>,Or reçu: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Coût: {1}</color>
heal_on_kill.name,<color=#ffd700>Monster Fang</color>,<color=#ffd700>Клык чудища</color>,<color=#ffd700>Monsterzahn</color>,<color=#ffd700>Colmillo de monstruo</color>,<color=#ffd700>Presa de monstro</color>,<color=#ffd700>Croc de monstre</color>
heal_on_kill.desc,Heal on Kill: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Cost: {1}</color>,Исцеление при убийстве: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Heilung bei Kill: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Kosten: {1}</color>,Cura al matar: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coste: {1}</color>,Cura ao matar: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Custo: {1}</color>,Soin par élimination: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coût: {1}</color>
health_per_tick.name,<color=#ffd700>Amber</color>,<color=#ffd700>Янтарь</color>,<color=#ffd700>Bernstein</color>,<color=#ffd700>Ámbar</color>,<color=#ffd700>Âmbar</color>,<color=#ffd700>Ambre</color>
health_per_tick.desc,Max Health: <color=#ffd700>+{1}</color> every <color=#ffd700>{0}</color> seconds\n\n<color=#ffd700>Cost: {2}</color>,Максимальное здоровье: <color=#ffd700>+{1}</color> каждые <color=#ffd700>{0}</color> секунд\n\n<color=#ffd700>Стоимость: {2}</color>,Max. Leben: <color=#ffd700>+{1}</color> alle <color=#ffd700>{0}</color> Sekunden\n\n<color=#ffd700>Kosten: {2}</color>,Salud máxima: <color=#ffd700>+{1}</color> cada <color=#ffd700>{0}</color> segundos\n\n<color=#ffd700>Coste: {2}</color>,Vida máxima: <color=#ffd700>+{1}</color> a cada <color=#ffd700>{0}</color> segundos\n\n<color=#ffd700>Custo: {2}</color>,Vie maximale: <color=#ffd700>+{1}</color> toutes les <color=#ffd700>{0}</color> secondes\n\n<color=#ffd700>Coût: {2}</color>
shield_per_tick.name,<color=#ffd700>Sapphire</color>,<color=#ffd700>Сапфир</color>,<color=#ffd700>Saphir</color>,<color=#ffd700>Zafiro</color>,<color=#ffd700>Safira</color>,<color=#ffd700>Saphir</color>
shield_per_tick.desc,Shield <color=#ffd700>+{1}</color> every <color=#ffd700>{0}</color> seconds\n\n<color=#ffd700>Cost: {2}</color>,Щит <color=#ffd700>+{1}</color> каждые <color=#ffd700>{0}</color> секунд\n\n<color=#ffd700>Стоимость: {2}</color>,Schild <color=#ffd700>+{1}</color> alle <color=#ffd700>{0}</color> Sekunden\n\n<color=#ffd700>Kosten: {2}</color>,Escudo <color=#ffd700>+{1}</color> cada <color=#ffd700>{0}</color> segundos\n\n<color=#ffd700>Coste: {2}</color>,Escudo <color=#ffd700>+{1}</color> a cada <color=#ffd700>{0}</color> segundos\n\n<color=#ffd700>Custo: {2}</color>,Bouclier <color=#ffd700>+{1}</color> toutes les <color=#ffd700>{0}</color> secondes\n\n<color=#ffd700>Coût: {2}</color>
shield_revival.name,<color=#ffd700>Restoration Works</color>,<color=#ffd700>Восстановительные работы</color>,<color=#ffd700>Wiederherstellungsarbeiten</color>,<color=#ffd700>Obras de restauración</color>,<color=#ffd700>Obras de restauração</color>,<color=#ffd700>Travaux de restauration</color>
shield_revival.desc,Shield Restoration <color=#ffd700>+{0}</color> on enemy kill\n\n<color=#ffd700>Cost: {1}</color>,Восстановление щита <color=#ffd700>+{0}</color> при убийстве врага\n\n<color=#ffd700>Стоимость: {1}</color>,Schildwiederherstellung <color=#ffd700>+{0}</color> bei Gegner-Kill\n\n<color=#ffd700>Kosten: {1}</color>,Restauración de escudo <color=#ffd700>+{0}</color> al matar\n\n<color=#ffd700>Coste: {1}</color>,Restauração de escudo <color=#ffd700>+{0}</color> ao matar\n\n<color=#ffd700>Custo: {1}</color>,Restauration du bouclier <color=#ffd700>+{0}</color> en tuant un ennemi\n\n<color=#ffd700>Coût: {1}</color>
attack_speed.name,<color=#ffd700>Fire Rate</color>,<color=#ffd700>Скорострельность</color>,<color=#ffd700>Feuerrate</color>,<color=#ffd700>Cadencia de fuego</color>,<color=#ffd700>Cadência de tiro</color>,<color=#ffd700>Cadence de tir</color>
attack_speed.desc,Attack Speed: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Cost: {1}</color>,Скорость атаки: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Angriffstempo: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Kosten: {1}</color>,Velocidad de ataque: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coste: {1}</color>,Velocidade de ataque: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Custo: {1}</color>,Vitesse d'attaque: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coût: {1}</color>
block.name,<color=#ffd700>Blocking</color>,<color=#ffd700>Блокирование</color>,<color=#ffd700>Blocken</color>,<color=#ffd700>Bloqueo</color>,<color=#ffd700>Bloqueio</color>,<color=#ffd700>Blocage</color>
block.desc,Block Chance: <color=#ffd700>+10%</color>\n\n<color=#ffd700>Cost: {1}</color>,Шанс блока: <color=#ffd700>+10%</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Blockchance: <color=#ffd700>+10%</color>\n\n<color=#ffd700>Kosten: {1}</color>,Prob. de bloqueo: <color=#ffd700>+10%</color>\n\n<color=#ffd700>Coste: {1}</color>,Chance de bloqueio: <color=#ffd700>+10%</color>\n\n<color=#ffd700>Custo: {1}</color>,Chance de blocage: <color=#ffd700>+10%</color>\n\n<color=#ffd700>Coût: {1}</color>
hp_regen_percent.name,<color=#ffd700>Overhaul</color>,<color=#ffd700>Капитальный ремонт</color>,<color=#ffd700>Überholung</color>,<color=#ffd700>Revisión</color>,<color=#ffd700>Revisão</color>,<color=#ffd700>Révision</color>
hp_regen_percent.desc,Health Regeneration <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Cost: {1}</color>,Регенерация здоровья <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Lebensregeneration <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Kosten: {1}</color>,Regeneración de salud <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Coste: {1}</color>,Regeneração de vida <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Custo: {1}</color>,Régénération de vie <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Coût: {1}</color>
more_enemy.name,<color=#ffd700>More Enemies</color>,<color=#ffd700>Больше врагов</color>,<color=#ffd700>Mehr Gegner</color>,<color=#ffd700>Más enemigos</color>,<color=#ffd700>Mais inimigos</color>,<color=#ffd700>Plus d'ennemis</color>
more_enemy.desc,Number of enemies per wave <color=#ffd700>+15%</color>,Кол-во врагов в волне <color=#ffd700>+15%</color>,Anzahl der Gegner pro Welle <color=#ffd700>+15%</color>,Número de enemigos por oleada <color=#ffd700>+15%</color>,Número de inimigos por onda <color=#ffd700>+15%</color>,Nombre d'ennemis par vague <color=#ffd700>+15%</color>
nature_blessing.name,<color=#ffd700>Nature's Blessing</color>,<color=#ffd700>Благославление природы</color>,<color=#ffd700>Segen der Natur</color>,<color=#ffd700>Bendición de la naturaleza</color>,<color=#ffd700>Bênção da natureza</color>,<color=#ffd700>Bénédiction de la nature</color>
nature_blessing.desc,Health: <color=#ffd700>+250</color>\nRegenerate missing health: <color=#ffd700>+2%</color>\n\n<color=#ffd700>Cost: {0}</color>,Здоровье: <color=#ffd700>+250</color>\nРегенерация недостающего здоровья: <color=#ffd700>+2%</color>\n\n<color=#ffd700>Стоимость: {0}</color>,Leben: <color=#ffd700>+250</color>\nRegeneriert fehlendes Leben: <color=#ffd700>+2%</color>\n\n<color=#ffd700>Kosten: {0}</color>,Salud: <color=#ffd700>+250</color>\nRegenera salud perdida: <color=#ffd700>+2%</color>\n\n<color=#ffd700>Coste: {0}</color>,Vida: <color=#ffd700>+250</color>\nRegenera vida perdida: <color=#ffd700>+2%</color>\n\n<color=#ffd700>Custo: {0}</color>,Vie: <color=#ffd700>+250</color>\nRégénère la vie manquante: <color=#ffd700>+2%</color>\n\n<color=#ffd700>Coût: {0}</color>
regen_per_tick.name,<color=#ffd700>Emerald</color>,<color=#ffd700>Изумруд</color>,<color=#ffd700>Smaragd</color>,<color=#ffd700>Esmeralda</color>,<color=#ffd700>Esmeralda</color>,<color=#ffd700>Émeraude</color>
regen_per_tick.desc,Health Regeneration: <color=#ffd700>+{0}</color> every <color=#ffd700>{1}</color> seconds\n\n<color=#ffd700>Cost: {2}</color>,Регенерация здоровья: <color=#ffd700>+{0}</color> каждые <color=#ffd700>{1}</color> секунд\n\n<color=#ffd700>Стоимость: {2}</color>,Lebensregeneration: <color=#ffd700>+{0}</color> alle <color=#ffd700>{1}</color> Sekunden\n\n<color=#ffd700>Kosten: {2}</color>,Regeneración de salud: <color=#ffd700>+{0}</color> cada <color=#ffd700>{1}</color> segundos\n\n<color=#ffd700>Coste: {2}</color>,Regeneração de vida: <color=#ffd700>+{0}</color> a cada <color=#ffd700>{1}</color> segundos\n\n<color=#ffd700>Custo: {2}</color>,Régénération de vie: <color=#ffd700>+{0}</color> toutes les <color=#ffd700>{1}</color> secondes\n\n<color=#ffd700>Coût: {2}</color>
shield_multiply.name,<color=#ffd700>Magic Defense</color>,<color=#ffd700>Магическая защита</color>,<color=#ffd700>Magische Verteidigung</color>,<color=#ffd700>Defensa mágica</color>,<color=#ffd700>Defesa mágica</color>,<color=#ffd700>Défense magique</color>
shield_multiply.desc,Shield <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Cost: {1}</color>,Щит <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Schild <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Kosten: {1}</color>,Escudo <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Coste: {1}</color>,Escudo <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Custo: {1}</color>,Bouclier <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Coût: {1}</color>
spike_scaling.name,<color=#ffd700>Reinforced Thorns</color>,<color=#ffd700>Укрепленные шипы</color>,<color=#ffd700>Verstärkte Dornen</color>,<color=#ffd700>Espinas reforzadas</color>,<color=#ffd700>Espinhos reforçados</color>,<color=#ffd700>Épines renforcées</color>
spike_scaling.desc,Thorns <color=#ffd700>+20</color>\nThorns: <color=#ffd700>+1</color> when an enemy dies from thorns damage\n\n<color=#ffd700>Cost: {0}</color>,Шипы <color=#ffd700>+20</color>\n Шипы: <color=#ffd700>+1</color> когда враг умирает от урона шипов\n\n<color=#ffd700>Стоимость: {0}</color>,"Dornen <color=#ffd700>+20</color>\nDornen: <color=#ffd700>+1</color>, wenn ein Gegner an Dornenschaden stirbt\n\n<color=#ffd700>Kosten: {0}</color>",Espinas <color=#ffd700>+20</color>\nEspinas: <color=#ffd700>+1</color> cuando un enemigo muere por daño de espinas\n\n<color=#ffd700>Coste: {0}</color>,Espinhos <color=#ffd700>+20</color>\nEspinhos: <color=#ffd700>+1</color> quando um inimigo morre por dano de espinhos\n\n<color=#ffd700>Custo: {0}</color>,Épines <color=#ffd700>+20</color>\nÉpines: <color=#ffd700>+1</color> quand un ennemi meurt des dégâts d'épines\n\n<color=#ffd700>Coût: {0}</color>
super_bullet.name,<color=#ffd700>Secret Weapon</color>,<color=#ffd700>Секретное оружие</color>,<color=#ffd700>Geheimwaffe</color>,<color=#ffd700>Arma secreta</color>,<color=#ffd700>Arma secreta</color>,<color=#ffd700>Arme secrète</color>
