Key,English(en),Russian(ru),German(de),Spanish(es),Portuguese(pt),French(fr)
stone.name,<color=#ffd700>Boulder</color>,<color=#ffd700>Валун</color>,<color=#ffd700>Felsbrocken</color>,<color=#ffd700>Roca</color>,<color=#ffd700>Pedregulho</color>,<color=#ffd700>Rocher</color>
stone.desc,<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
bounce.name,<color=#ffd700>Chakram</color>,<color=#ffd700>Чакрам</color>,<color=#ffd700>Chakram</color>,<color=#ffd700>Chakram</color>,<color=#ffd700>Chakram</color>,<color=#ffd700>Chakram</color>
bounce.desc,"On hit, bounces to the nearest enemy if they're within range. <color=#ffd700>Repeats 3 times</color>\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3}","При нанесении урона отскакивает в ближайшего врага, если он находится на достаточном расстояние. <color=#ffd700>Повторяется 3 раза</color>\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3}",Trifft und springt zum nächsten Gegner in Reichweite. <color=#ffd700>Wiederholt sich 3 Mal</color>\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},"Al impactar, rebota al enemigo más cercano dentro del alcance. <color=#ffd700>Se repite 3 veces</color>\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3}","Ao atingir, ricocheteia para o inimigo mais próximo ao alcance. <color=#ffd700>Repete 3 vezes</color>\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3}","Au contact, rebondit vers l'ennemi le plus proche à portée. <color=#ffd700>Se répète 3 fois</color>\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}"
chain_lighting.name,<color=#ffd700>Chain Lightning</color>,<color=#ffd700>Цепная молния</color>,<color=#ffd700>Kettenblitz</color>,<color=#ffd700>Rayo en cadena</color>,<color=#ffd700>Raio em cadeia</color>,<color=#ffd700>Éclair en chaîne</color>
chain_lighting.desc,Chains lightning to nearby enemies\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},Бьёт цепной молнией по ближайшим врагам\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},Blitze springen auf nahe Gegner über\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},Encadena rayos a los enemigos cercanos\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},Encadeia raios nos inimigos próximos\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},La foudre se propage aux ennemis proches\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
ice_bullet.name,<color=#ffd700>Ice Arrow</color>,<color=#ffd700>Ледяная стрела</color>,<color=#ffd700>Eispfeil</color>,<color=#ffd700>Flecha de hielo</color>,<color=#ffd700>Flecha de gelo</color>,<color=#ffd700>Flèche de glace</color>
ice_bullet.desc,Slows the enemy by 30% for 2 seconds\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},Замедляет врага на 30% на 2 секунды\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},Verlangsamt den Gegner für 2 Sekunden um 30%\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},Ralentiza al enemigo un 30% durante 2 segundos\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},Reduz a velocidade do inimigo em 30% por 2 segundos\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},Ralentit l'ennemi de 30% pendant 2 secondes\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
life_laser.name,<color=#ffd700>Life Siphon</color>,<color=#ffd700>Жизнесос</color>,<color=#ffd700>Lebenssauger</color>,<color=#ffd700>Sifón de vida</color>,<color=#ffd700>Sifão de vida</color>,<color=#ffd700>Siphon de vie</color>
life_laser.desc,Increases max health by 2 when killing an enemy\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},Увеличивает максимальное здоровье на 2 при убийстве врага\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},Erhöht die maximale Lebenskraft um 2 bei einem Kill\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},Aumenta la salud máxima en 2 al matar a un enemigo\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},Aumenta a vida máxima em 2 ao matar um inimigo\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},Augmente la vie maximale de 2 en tuant un ennemi\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
missles.name,<color=#ffd700>Homing Missile</color>,<color=#ffd700>Самонаводящая ракета</color>,<color=#ffd700>Lenkrakete</color>,<color=#ffd700>Misil teledirigido</color>,<color=#ffd700>Míssil teleguiado</color>,<color=#ffd700>Missile à tête chercheuse</color>
missles.desc,<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
mortar.name,<color=#ffd700>Mortar</color>,<color=#ffd700>Мортира</color>,<color=#ffd700>Mörser</color>,<color=#ffd700>Mortero</color>,<color=#ffd700>Morteiro</color>,<color=#ffd700>Mortier</color>
mortar.desc,<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
shock_wave.name,<color=#ffd700>Shock Wave</color>,<color=#ffd700>Ударная волна</color>,<color=#ffd700>Schockwelle</color>,<color=#ffd700>Onda de choque</color>,<color=#ffd700>Onda de choque</color>,<color=#ffd700>Onde de choc</color>
shock_wave.desc,Sends a wave at the enemy that deals damage to everyone in its path\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},"Направляет во врага волну, которая наносит урон всем на своем пути\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3}","Sendet eine Welle, die allen Gegnern auf ihrem Weg Schaden zufügt\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3}",Envía una onda que daña a todos en su camino\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},Envia uma onda que causa dano a todos em seu caminho\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},Envoie une onde qui inflige des dégâts à tous sur son passage\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
balista.name,<color=#ffd700>Ballista</color>,<color=#ffd700>Балиста</color>,<color=#ffd700>Balliste</color>,<color=#ffd700>Balista</color>,<color=#ffd700>Balista</color>,<color=#ffd700>Baliste</color>
balista.desc,<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
catapult.name,<color=#ffd700>Catapult</color>,<color=#ffd700>Катапульта</color>,<color=#ffd700>Katapult</color>,<color=#ffd700>Catapulta</color>,<color=#ffd700>Catapulta</color>,<color=#ffd700>Catapulte</color>
catapult.desc,Deals area damage equal to <color=#ffd700>15%</color> of the tower's maximum health\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n<color=#ffd700>Area damage:</color> Yes\n\n<color=#ffd700>Cost:</color> {3},Наносит урон по области равный <color=#ffd700>15%</color> максимальному здоровью башни\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n<color=#ffd700>Урон по области:</color> Да\n\n<color=#ffd700>Стоимость:</color>  {3},Verursacht Flächenschaden in Höhe von <color=#ffd700>15%</color> der maximalen Lebenskraft des Turms\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n<color=#ffd700>Flächenschaden:</color> Ja\n\n<color=#ffd700>Kosten:</color> {3},Inflige daño en área igual al <color=#ffd700>15%</color> de la salud máxima de la torre\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n<color=#ffd700>Daño en área:</color> Sí\n\n<color=#ffd700>Coste:</color> {3},Causa dano em área igual a <color=#ffd700>15%</color> da vida máxima da torre\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n<color=#ffd700>Dano em área:</color> Sim\n\n<color=#ffd700>Custo:</color> {3},Inflige des dégâts de zone égaux à <color=#ffd700>15%</color> de la vie maximale de la tour\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n<color=#ffd700>Dégâts de zone:</color> Oui\n\n<color=#ffd700>Coût:</color> {3}
chaos_wave.name,<color=#ffd700>Chaos Wave</color>,<color=#ffd700>Устрашение</color>,<color=#ffd700>Chaoswelle</color>,<color=#ffd700>Onda de caos</color>,<color=#ffd700>Onda de caos</color>,<color=#ffd700>Onde de chaos</color>
chaos_wave.desc,Sends a wave at the enemy that deals damage to everyone in its path. Heals the tower for <color=#ffd700>10</color> health for each enemy hit\n<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},"Направляет во врага волну, которая наносит урон всем на своем пути. Лечит башню на <color=#ffd700>10</color> здоровья за кажого задетого врага\n<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3}","Sendet eine Welle, die allen auf ihrem Weg Schaden zufügt. Heilt den Turm um <color=#ffd700>10</color> Leben pro getroffenem Gegner\n<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3}",Envía una onda que daña a todos en su camino. Cura a la torre <color=#ffd700>10</color> de salud por cada enemigo golpeado\n<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},Envia uma onda que causa dano a todos em seu caminho. Cura a torre em <color=#ffd700>10</color> de vida por inimigo atingido\n<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},Envoie une onde qui inflige des dégâts à tous sur son passage. Soigne la tour de <color=#ffd700>10</color> points de vie par ennemi touché\n<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
hammer.name,<color=#ffd700>Storm Hammer</color>,<color=#ffd700>Молот шторма</color>,<color=#ffd700>Sturmhammer</color>,<color=#ffd700>Martillo de tormenta</color>,<color=#ffd700>Martelo da tempestade</color>,<color=#ffd700>Marteau de tempête</color>
hammer.desc,<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
laser.name,<color=#ffd700>Arcane Focus</color>,<color=#ffd700>Концентрация магии</color>,<color=#ffd700>Arkaner Fokus</color>,<color=#ffd700>Foco arcano</color>,<color=#ffd700>Foco arcano</color>,<color=#ffd700>Focalisation arcanique</color>
